"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Field_Collection_Type","Field_Collector","Field_Collection_Start_Date","Field_Collection_Start_Time","Field_Collection_Start_Date_Time","Field_Collection_End_Date","Field_Collection_End_Time","Field_Collection_End_Date_Time","Field_Collection_Comment","Field_Collection_Area","Field_Collection_Area_Units","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Upper_Depth_In_Feet","Lower_Depth_In_Feet","Well_Water_Level_Measuring_Point_Or_TOC_ID","Sample_ID","Sample_Field_Replicate_ID","Sample_Replicate_Flag","Sample_Sub_ID","Sample_Composite_Flag","Storm_Event_Qualifier","Sample_Matrix","Sample_Source","Sample_Use","Sample_Collection_Method","Sample_Collection_Method_Description","Sample_Preparation_Method","Sample_Preparation_Method_Description","Sample_Method_Other","Sample_Method_Other_Type","Sample_Method_Other_Description","Sample_Taxon_Name","Sample_Taxon_Common_Name","Sample_Taxon_TSN","Sample_Tissue_Type","Sample_Percent_Sorted","Result_Parameter_Name","Result_Parameter_CAS_Number","Lab_Analysis_Date","Lab_Analysis_Date_Accuracy","Lab_Analysis_Time","Result_Value","Result_Value_Units","Result_Reporting_Limit","Result_Reporting_Limit_Type","Result_Detection_Limit","Result_Detection_Limit_Type","Result_Data_Qualifier","Result_Data_Qualifier_Description","Result_Suspect_or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Fraction_Analyzed","Field_Filtered_Flag","Result_Basis","Digestion_Method","Water_Level_Accuracy","Result_Method","Result_Method_Description","Result_Comment","Result_Additional_Comment","Result_Lab_Replicate_ID","Result_Lab_Name","Result_Validation_Level","Result_Taxon_Name","Result_Taxon_Common_Name","Result_Taxon_Alias_Other","Result_Taxon_TSN","Result_Taxon_Parent_TSN","Result_Taxon_Unidentified_Species","Result_Taxon_Life_Stage","Study_QA_Planning_Level","Study_QA_Assessment_Level","Study_Type","EIM_Data_Entry_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Record_Created_On","Result_System_ID"
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",0,2,"in",0,0.1666666,"","418-2-31-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"26","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,5646526
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",0,2,"in",0,0.1666666,"","418-2-31-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"91","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,9475298
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-12-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"42","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,1316288
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-12-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"74","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,7377288
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-22-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"88","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,2077252
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-22-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"40","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,5016252
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-32-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"66","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,1277271
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-32-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"40","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,4216271
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-32-5-0","","Y","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"35","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,2176869
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","411-2-32-5-0","","Y","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"54","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,9147869
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","418-2-12-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"49","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,4475283
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","418-2-12-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"21","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,7414283
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","418-2-22-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"37","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,2646524
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","418-2-22-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"47","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,8475296
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","418-2-32-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"43","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,3698521
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC418","0219042006","0219042006","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",2,6,"in",0.1666666,0.4999998,"","418-2-32-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Arsenic","7440-38-2","03/28/2002","",00:00:00,"25","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1659569590231,-122.56182442955,,7646521
"TSP-PC","Tacoma Smelter Plume (TSP) Pierce County Footprint Study","TSPPC411","0220283027","0220283027","Sample","","03/22/2002",,3/22/2002 12:00:00 AM,"03/22/2002",,3/22/2002 12:00:00 AM,"",,"","",6,12,"in",0.4999998,0.9999996,"","411-2-33-4-0","","N","","N","","Solid/Sediment","Soil","","","","","","","","","","","","",,"Lead","7439-92-1","03/28/2002","",00:00:00,"9.4","mg/Kg","","","","","","","","","","Total","","DRY","","","SW6020","Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) for Metals and Trace Elements, Revision 0","","","","Severn Trent Labs (STL), Seattle/Tacoma WA (1/1/02-6/30/07, see lab detail for current info)","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 1:  Data neither Verified nor Assessed for Usability","General environmental study","Not Reviewed",47.1850354787334,-122.56601227204,,1401591
